symbol,lookback,fib_level,require_candle_direction,allow_shorts,markov_gate,markov_window,markov_threshold,min_train,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_annualized_return,train_sharpe,train_max_drawdown,train_avg_trade_return_net,train_exposure,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_annualized_return,test_sharpe,test_max_drawdown,test_avg_trade_return_net,test_exposure
QQQ,3,0.382,True,False,off,20,0.03,126,753,29,29,0,16,13,0.5517241379310345,0.08005102099289463,0.04924321236637885,0.016216978885575273,0.49944555930279866,-0.023650592571357265,0.0017144853409929324,0.03851261620185923,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,off,20,0.03,252,753,29,29,0,16,13,0.5517241379310345,0.08005102099289463,0.04924321236637885,0.016216978885575273,0.49944555930279866,-0.023650592571357265,0.0017144853409929324,0.03851261620185923,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,off,20,0.05,126,753,29,29,0,16,13,0.5517241379310345,0.08005102099289463,0.04924321236637885,0.016216978885575273,0.49944555930279866,-0.023650592571357265,0.0017144853409929324,0.03851261620185923,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,off,20,0.05,252,753,29,29,0,16,13,0.5517241379310345,0.08005102099289463,0.04924321236637885,0.016216978885575273,0.49944555930279866,-0.023650592571357265,0.0017144853409929324,0.03851261620185923,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,off,40,0.03,126,753,29,29,0,16,13,0.5517241379310345,0.08005102099289463,0.04924321236637885,0.016216978885575273,0.49944555930279866,-0.023650592571357265,0.0017144853409929324,0.03851261620185923,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,off,40,0.03,252,753,29,29,0,16,13,0.5517241379310345,0.08005102099289463,0.04924321236637885,0.016216978885575273,0.49944555930279866,-0.023650592571357265,0.0017144853409929324,0.03851261620185923,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,off,40,0.05,126,753,29,29,0,16,13,0.5517241379310345,0.08005102099289463,0.04924321236637885,0.016216978885575273,0.49944555930279866,-0.023650592571357265,0.0017144853409929324,0.03851261620185923,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,off,40,0.05,252,753,29,29,0,16,13,0.5517241379310345,0.08005102099289463,0.04924321236637885,0.016216978885575273,0.49944555930279866,-0.023650592571357265,0.0017144853409929324,0.03851261620185923,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,long_nonnegative,20,0.03,126,753,22,22,0,13,9,0.5909090909090909,0.06861792176669113,0.04542205201093941,0.01497693227176522,0.6378779990789832,-0.02965905556860049,0.0020574107823537395,0.029216467463479414,503,18,18,0,10,8,0.5555555555555556,-0.012564380508792605,-0.03020172809544419,-0.015246657034098887,-0.37130327924956136,-0.05629968832145238,-0.0016171517932720117,0.03578528827037773
QQQ,3,0.382,True,False,long_nonnegative,20,0.03,252,753,24,24,0,14,10,0.5833333333333334,0.08826717896709257,0.06253534083332601,0.020507292619120543,0.67528916925694,-0.02254519768720742,0.0025859888189867695,0.03187250996015936,503,18,18,0,10,8,0.5555555555555556,-0.012564380508792605,-0.03020172809544419,-0.015246657034098887,-0.37130327924956136,-0.05629968832145238,-0.0016171517932720117,0.03578528827037773
