phase,adx_period,regime_adx_low,regime_adx_high,mr_z_window,mr_z_threshold,mr_rsi_long,mr_hold,mr_stop_atr,bo_lookback,bo_vol_threshold,bo_hold,bo_stop_atr,bo_entry,trades,mr_trades,bo_trades,wins,losses,win_rate,gross_total_return,net_total_return,avg_trade_return_net,sharpe_per_bar,max_drawdown,exposure,gate
4,20,15.0,35.0,360,2.5,35.0,20,1.2,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,2.5,35.0,10,1.5,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,2.5,35.0,15,1.5,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,2.5,35.0,20,1.5,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,2.5,35.0,10,1.8,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,2.5,35.0,15,1.8,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,2.5,35.0,20,1.8,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,10,1.2,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,15,1.2,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,20,1.2,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,10,1.5,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,15,1.5,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,20,1.5,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,10,1.8,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,15,1.8,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,30.0,20,1.8,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,35.0,10,1.2,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,35.0,15,1.2,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
4,20,15.0,35.0,360,3.0,35.0,20,1.2,15,2.5,13,2.3,close_break,16,0,16,4,12,0.25,0.01276643512549569,-0.006489612440795378,-0.00040169013062115594,-2.532667261631291,-0.020407691832139863,0.008531746031746031,no_go
