vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,markov_gate,train_trades,test_trades,test_sharpe,test_net_return,test_max_drawdown,test_win_rate,train_sharpe,gate
60,120,2.5,30,75,1.2,0.8,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.2,1.2,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.2,1.2,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
60,120,2.5,35,75,1.0,0.8,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.559835,no_go
60,120,2.5,35,75,1.0,0.8,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.559835,no_go
60,120,2.5,35,75,1.0,1.2,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.617737,no_go
60,120,2.5,35,75,1.0,1.2,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.617737,no_go
60,120,2.5,35,75,1.2,0.8,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.559835,no_go
60,120,2.5,35,75,1.2,0.8,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.559835,no_go
60,120,2.5,35,75,1.2,1.2,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.617737,no_go
60,120,2.5,35,75,1.2,1.2,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.617737,no_go
60,120,2.5,40,75,1.0,0.8,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.559835,no_go
60,120,2.5,40,75,1.0,0.8,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.559835,no_go
60,120,2.5,40,75,1.0,1.2,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.617737,no_go
60,120,2.5,40,75,1.0,1.2,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.617737,no_go
60,120,2.5,40,75,1.2,0.8,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.559835,no_go
60,120,2.5,40,75,1.2,0.8,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.559835,no_go
60,120,2.5,40,75,1.2,1.2,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.617737,no_go
60,120,2.5,40,75,1.2,1.2,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.617737,no_go
60,240,2.5,30,75,1.0,0.8,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,240,2.5,30,75,1.0,0.8,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
60,240,2.5,30,75,1.0,1.2,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,240,2.5,30,75,1.0,1.2,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
60,240,2.5,30,75,1.2,0.8,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,240,2.5,30,75,1.2,0.8,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
60,240,2.5,30,75,1.2,1.2,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,240,2.5,30,75,1.2,1.2,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
60,240,2.5,35,75,1.0,0.8,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,240,2.5,35,75,1.0,0.8,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
60,240,2.5,35,75,1.0,1.2,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,240,2.5,35,75,1.0,1.2,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
60,240,2.5,35,75,1.2,0.8,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,240,2.5,35,75,1.2,0.8,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
60,240,2.5,35,75,1.2,1.2,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,240,2.5,35,75,1.2,1.2,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
60,240,2.5,40,75,1.2,0.8,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
60,240,2.5,40,75,1.2,0.8,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
60,240,2.5,40,75,1.2,1.2,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
60,240,2.5,40,75,1.2,1.2,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
60,360,2.5,30,75,1.0,0.8,10,off,0,1,9.323043,0.001574,0.0,1.0,0.0,no_go
60,360,2.5,30,75,1.0,0.8,20,off,0,1,9.323043,0.002929,0.0,1.0,0.0,no_go
